,Energy (eV),Total cross section (Angstrom^2),TCS uncertainty (Angstrom^2),Positronium cross section (Angstrom^2),PCS uncertainty (Angstrom^2)
0,1.0,31.42972005493592,0.4252164761069044,-0.42740721274606885,0.43457839782136465
1,2.0,23.58503296946299,0.4114165492349957,-0.4513936144717826,0.43603395701506537
2,3.0,19.893379279363362,0.4191804183306154,-0.8465699235773296,0.41872752152659004
3,4.0,18.287244218893136,0.4186882803829777,0.2808356683491746,0.4270054947973615
4,5.0,17.551247520174982,0.40306534345583234,0.08374792929199139,0.4202076811975794
5,6.0,19.38141910807361,0.4168448889219683,2.7646241699303706,0.42488949964329614
6,7.0,19.276498660159028,0.39565025349489413,3.7317464696599316,0.416466769128062
7,8.0,19.770862529440898,0.4086930332081794,5.092627686446356,0.4327692912338747
8,9.0,19.47333868589642,0.412664735903548,6.626856504614712,0.46607486708422363
9,10.0,19.843428846406013,0.4089137309607617,6.959796222467659,0.4616357834522065
10,15.0,20.3794750426157,0.41521965351347445,8.254041057171081,0.46547230608556744
11,20.0,20.368756983715574,0.4225807828832894,7.786368887449622,0.4651545038988365
12,25.0,20.463380463606004,0.42222336316026327,6.968741137063917,0.46424580405468374
13,30.0,20.059267204909904,0.406469496523797,6.203386175324609,0.4462849689712226
14,35.0,20.327374415259264,0.4035338954749316,6.107559387632642,0.4389321078531666
15,40.0,20.300133617132964,0.41256840124769356,5.343545702190527,0.43431484570316764
16,45.0,20.286463505878455,0.4064022004051248,4.640180838640485,0.4411931792355645
17,50.0,20.361682394258995,0.4086061406665364,4.184308368069006,0.42536797681182986
18,55.0,21.15340904269184,0.4097090418987778,3.3978519673906153,0.4282255802069305
19,60.0,21.358002587106203,0.4206207679923598,3.2585083120391345,0.4313474056513587
20,65.0,20.89663128755361,0.40458571193958326,1.9793507933807595,0.4245892946499914
21,70.0,21.281750884666675,0.404548011692198,2.3598458503834876,0.40922482174736907
22,75.0,22.22170220390989,0.42227844172474216,2.197384728336115,0.4262323340224111
23,80.0,22.77227912900163,0.42178379595187965,2.0910217969757112,0.4238293306513968
24,85.0,24.58228685113668,0.42093198303421175,1.2909686640825977,0.41584751604984355
25,90.0,24.78859054623082,0.4236505547051117,0.9149562003808139,0.41010601934466817
26,95.0,24.588855821147746,0.4166888613783989,0.6869632745528496,0.4031512222878763
27,100.0,22.345679537501496,0.44331442335071825,0.8633975080725557,0.41146469878155884
