Energy,TCS,Error
4.90127,15.1174,0
5.8857,15.5379,0
7.42135,16.0635,0
9.94494,16.3741,0
12.5386,16.6865,0
14.5132,16.5754,0
20.1675,16.2453,0
24.8105,16.1323,0
29.7898,16.2331,0
39.4206,15.5849,0
48.4877,15.0456,0
75.1591,13.6464,0
100.634,11.9321,0
