,Energy (eV),Total cross section (Angstrom^2),TCS uncertainty (Angstrom^2),Positronium cross section (Angstrom^2),PCS uncertainty (Angstrom^2)
0,1.0,28.183631285931646,0.3003491448645158,-0.4015637685125392,0.2934694650833723
1,2.0,21.082713823281416,0.28464890922798275,-0.5131265253405115,0.28961606157059133
2,3.0,17.87627814607937,0.29395054005796856,-0.5345896358247689,0.28839553870889517
3,4.0,16.14332735396261,0.28301710148301706,-0.5087640840073993,0.2830064414018553
4,5.0,16.152492451153634,0.2764789451588606,-0.23821224790232773,0.294626348029871
5,6.0,17.23097598156172,0.2788875878974167,2.2950608622254896,0.29558700758500484
6,7.0,17.752607138710182,0.2896251483520846,4.04867197853375,0.302570246788632
7,8.0,17.59792485694437,0.2786354262465392,5.2456125799007385,0.30945611764908826
8,9.0,18.246227727515386,0.28436359695011526,5.629097151225543,0.3064115736100617
9,10.0,18.71980709927289,0.2789831157232268,6.798897789554658,0.3086731155085303
10,15.0,18.917943846967077,0.28119463357134605,7.872679805647622,0.32146979448773516
11,20.0,19.40038076463496,0.2865976710218178,7.5121731363934625,0.32384273559726606
12,25.0,19.407664265557404,0.2805599569164233,6.7571213974283095,0.30957606281284433
13,30.0,19.423639052652085,0.2774024132407387,5.728105795681272,0.3101424657977511
14,35.0,19.245388879259846,0.2772212300307691,5.613227988812161,0.31190590795147716
15,40.0,19.329994003993242,0.284907379734105,4.900698597730171,0.3056379182495313
16,45.0,18.702914710855268,0.2784667664330962,4.392616388449726,0.2930385044944181
17,50.0,18.428320663610467,0.2781785317664979,3.8813397499853743,0.30058454853639344
18,55.0,17.948622288509874,0.28807410661325294,3.4144958702311103,0.28971797695391194
19,60.0,17.42820574619514,0.27665829343488885,2.466113402625711,0.28394665295661514
20,65.0,17.53983482295583,0.2723974368418336,2.388761209037772,0.2972550272059361
21,70.0,16.93453782369555,0.2719804229116069,1.7322359419967144,0.2906243409977056
22,75.0,16.894184032613083,0.27592754802721753,1.5520084728050232,0.28739760711830353
23,80.0,16.322838320491307,0.28419598220931713,1.176971440843716,0.2779686827247045
24,85.0,15.877824082183029,0.2832163725303109,0.9603389833325049,0.2937461554451915
25,90.0,16.285297672141667,0.2796296187408361,0.3834446541541023,0.285306729476147
26,95.0,16.150285244582943,0.2733129208706295,0.5811723991504064,0.28831281014433935
27,100.0,14.943410260710063,0.28263874870947664,0.6155670253921606,0.2864843797261166
